year,weight_class,place,wrestler,team
2025,103,1st Place,Erin Hikiji,Providence
2025,103,2nd Place,Alexis Miller,Oklahoma City
2025,103,3rd Place,Judy Sandoval,Grand View
2025,103,4th Place,Makayla Young,Indiana Tech
2025,103,5th Place,Alexis Hatfield,Avila
2025,103,6th Place,Angelina Casteneda,Cumberlands
2025,103,7th Place,Karina Vang,Doane
2025,103,8th Place,Sofia Abramson,Oklahoma City
2025,110,1st Place,Stefana Jelacic,Lourdes
2025,110,2nd Place,Anaya Falcon,Life
2025,110,3rd Place,Paige Morales,Providence
2025,110,4th Place,Tehani Soares,Indiana Tech
2025,110,5th Place,Emma Baertlein,Southern Oregon
2025,110,6th Place,Alexsys Jacquez,Saint Mary
2025,110,7th Place,Tristan Nitta,Grand View
2025,110,8th Place,Nizhoni Tallman,Evergreen State
2025,117,1st Place,Christianah Ogunsanya,William Penn
2025,117,2nd Place,Salyna Shotwell,Life
2025,117,3rd Place,Shammilka Miranda,Cumberlands
2025,117,4th Place,Mayangelie Colon,Grand View
2025,117,5th Place,Jasmine Howard,Southern Oregon
2025,117,6th Place,Camille Fournier,Texas Wesleyan
2025,117,7th Place,Katherine Heath,Baker
2025,117,8th Place,Icart Galumette,Campbellsville
2025,124,1st Place,Cristelle Rodriguez,Doane
2025,124,2nd Place,Katie Gomez,Cumberlands
2025,124,3rd Place,Joanna Vanderwood,William Penn
2025,124,4th Place,Catharine Campbell,Grand View
2025,124,5th Place,Jasmina Immaeva,Missouri Valley
2025,124,6th Place,Rose Kaplan,Indiana Tech
2025,124,7th Place,Maya Davis,Grand View
2025,124,8th Place,Ariana Martinez,Life
2025,131,1st Place,Jumoke Adekoye,Dickinson State
2025,131,2nd Place,Xochitl Mota-pettis,Missouri Valley
2025,131,3rd Place,Mercy Adekuoroye,Wayland Baptist
2025,131,4th Place,Carolina Moreno,Southern Oregon
2025,131,5th Place,Olivia Mottley,Life
2025,131,6th Place,Sarah Savidge,Life
2025,131,7th Place,Devin Patton,William Penn
2025,131,8th Place,Larissa Kaz,Hastings
2025,138,1st Place,Zaynah Mcbryde,Life
2025,138,2nd Place,Waipuilani Estrella-Beauchamp,Providence
2025,138,3rd Place,Samantha Barragan,Texas Wesleyan
2025,138,4th Place,Reagen Gallaway,Hastings
2025,138,5th Place,Jordan Suarez,Wayland Baptist
2025,138,6th Place,Serenity De La Garza,Missouri Valley
2025,138,7th Place,Isabelle Hawley,William Penn
2025,138,8th Place,Natalia Posada,Oklahoma City
2025,145,1st Place,Esther Kolawole,William Penn
2025,145,2nd Place,Jamilah Mcbryde,Life
2025,145,3rd Place,Liv Wieber,Eastern Oregon
2025,145,4th Place,Sevreign Aumua,Missouri Valley
2025,145,5th Place,Bridgette Sotomayor,Doane
2025,145,6th Place,Aubrey Yauger,Texas Wesleyan
2025,145,7th Place,Alivia Ming,Cumberlands
2025,145,8th Place,Anastasia Hardin,Missouri Baptist
2025,160,1st Place,Latifah Mcbryde,Life
2025,160,2nd Place,Darby Weidl,Ottawa
2025,160,3rd Place,Flor Parker Borrero,Evergreen State
2025,160,4th Place,Micah Fisher,Cumberlands
2025,160,5th Place,Josette Partney,Missouri Baptist
2025,160,6th Place,Allyssa Johnson,Jamestown
2025,160,7th Place,Aspen Barber,Doane
2025,160,8th Place,Abigail Sebesta,Ottawa
2025,180,1st Place,Ashley Lekas,Texas Wesleyan
2025,180,2nd Place,Kelani Corbett,Missouri Valley
2025,180,3rd Place,Jannell Avila,Baker
2025,180,4th Place,India Page,Lindsey Wilson
2025,180,5th Place,Liliana Vergara,Campbellsville
2025,180,6th Place,Lillian Gradillas-Flores,Southern Oregon
2025,180,7th Place,Reka Busa,Life
2025,180,8th Place,America Lopez,William Penn
2025,207,1st Place,Savannah Isaac,Life
2025,207,2nd Place,Riley Dempewolf,Indiana Tech
2025,207,3rd Place,Olivia Brown,Grand View
2025,207,4th Place,Hannah Jackson,Ottawa
2025,207,5th Place,Maquoia Bernabe,Cumberlands
2025,207,6th Place,Kathryn Hingano,Southern Oregon
2025,207,7th Place,Mariyah Brumley,William Woods
2025,207,8th Place,Alysse Phillips,Lourdes
2026,103,1st Place,Erin Hikiji,Providence
2026,103,2nd Place,Zoey Haney,Indiana Tech
2026,103,3rd Place,Makennah Craft,Campbellsville
2026,103,4th Place,Alexsys Jacquez,Saint Mary
2026,103,5th Place,Lita Cruz,Grand View
2026,103,6th Place,Alexis Miller,Oklahoma City
2026,103,7th Place,Aynsley Fink,Ottawa
2026,103,8th Place,Isabelle Apple,Grand View
2026,110,1st Place,Mia Palumbo,William Penn
2026,110,2nd Place,Avery Ashley,Oklahoma City
2026,110,3rd Place,Tristan Nitta,Grand View
2026,110,4th Place,Kylie Robledo,Baker
2026,110,5th Place,Kayla McNatt,Arizona Christian
2026,110,6th Place,Paige Morales,Providence
2026,110,7th Place,Avy Perez,William Penn
2026,110,8th Place,Chloe Brewis,Hastings
2026,117,1st Place,Christianah Ogunsanya,William Penn
2026,117,2nd Place,Salyna Shotwell,Life
2026,117,3rd Place,Zao Estrada,Missouri Valley
2026,117,4th Place,Cailin Campbell,Grand View
2026,117,5th Place,Grace Lashinsky,Lindsey Wilson
2026,117,6th Place,Carolina Rios,Texas Wesleyan
2026,117,7th Place,Joely Slyter,Providence
2026,117,8th Place,Angelica Vicente Gonzalez,Doane
2026,124,1st Place,Cristelle Rodriguez,Doane
2026,124,2nd Place,Rose Kaplan,Indiana Tech
2026,124,3rd Place,Vicky Baez-Dilone,William Penn
2026,124,4th Place,Rei Ogden,Bismarck State
2026,124,5th Place,Kamilah Brooks,Lindsey Wilson
2026,124,6th Place,Alyssa Randles,Providence
2026,124,7th Place,Catherine Campbell,Grand View
2026,124,8th Place,Lola Barkby,Indiana Tech
2026,131,1st Place,Jumoke Adekoye,Dickinson State
2026,131,2nd Place,Olivia Mottley,Life
2026,131,3rd Place,Waipuilani Estrella-Beauchamp,Providence
2026,131,4th Place,Sarah Savidge,Life
2026,131,5th Place,Kendall Bostelman,William Penn
2026,131,6th Place,Jeila Ramos,Lindsey Wilson
2026,131,7th Place,Alexis Schneider,Bismarck State
2026,131,8th Place,Larissa Kaz,Hastings
2026,138,1st Place,Esther Kolawole,William Penn
2026,138,2nd Place,Zaynah McBryde,Life
2026,138,3rd Place,Samantha Barragan,Texas Wesleyan
2026,138,4th Place,Maci Avila,Midland
2026,138,5th Place,Haley Le,Evergreen State
2026,138,6th Place,Aileen Lester,Ottawa
2026,138,7th Place,Reagen Gallaway,Hastings
2026,138,8th Place,Skylur Lewis,Saint Mary
2026,145,1st Place,Jamilah McBryde,Life
2026,145,2nd Place,Jordan Suarez,Wayland Baptist
2026,145,3rd Place,Kori Campbell,Lindsey Wilson
2026,145,4th Place,Holland Wieber,Southern Oregon
2026,145,5th Place,Madison Diaz,Grand View
2026,145,6th Place,Brooke-Lynn Rush,Missouri Valley
2026,145,7th Place,Hayden Newberg,Indiana Tech
2026,145,8th Place,Maggie Ortmann,Missouri Baptist
2026,160,1st Place,Mercy Adekuoroye,Wayland Baptist
2026,160,2nd Place,Shannon Workinger,Evergreen State
2026,160,3rd Place,Latifah McBryde,Life
2026,160,4th Place,Vida Boskovic,Southern Oregon
2026,160,5th Place,Bo Geibe,Indiana Tech
2026,160,6th Place,Hailey Sutton,Providence
2026,160,7th Place,Micah Fisher-Miller,Cumberlands
2026,160,8th Place,Darby Weidl,Ottawa
2026,180,1st Place,Piper Fowler,William Penn
