season,event_name,event_id,school,wrestler_name,weight_class,place,points_scored,wins,losses,matches_wrestled
2026,2026 NAIA Women's National Championships,954958132,Arizona Christian,Kayla McNatt,110,5th,14.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Avila,Haley Ward,207,2nd,21.5,4,1,5
2026,2026 NAIA Women's National Championships,954958132,Baker,Kylie Robledo,110,4th,14.5,5,2,7
2026,2026 NAIA Women's National Championships,954958132,Baker,Chloe Herrick,117,Did not place,6.0,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Baker,Aileya Sath,131,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Baker,Hailee Crosland,160,Did not place,3.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Baker,Johanna Carrasco,180,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Baker,Margaret Jordan,180,Did not place,3.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Baker,Madeleine Stone,207,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Bismarck State,Lakota Rogers,117,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Bismarck State,Rei Ogden,124,4th,15.5,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Bismarck State,Alexis Schneider,131,7th,10.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Campbellsville,Makennah Craft,103,3rd,17.0,5,1,6
2026,2026 NAIA Women's National Championships,954958132,Campbellsville,Addison Messerly,124,Did not place,2.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Campbellsville,Olivia Messerly,131,Did not place,1.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Campbellsville,Gabriella Perez,145,Did not place,2.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Campbellsville,Kylee Tait,160,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Central Methodist,Zoey Mzeru,103,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Central Methodist,Yusneiry Agrazal,117,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Central Methodist,Berlin Kiddoo,124,Did not place,2.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Central Methodist,Emily Neumann,138,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Central Methodist,Allyssa Johnson,160,Did not place,2.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Kaitlin Castro,124,Did not place,4.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Mary Jane Porter,131,Did not place,2.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Ruth Jimenez,138,Did not place,1.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Genesis Gilmore,145,Did not place,2.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Alyvia Ming,145,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Sierra Mefford,160,Did not place,1.5,2,2,4
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Micah Fisher-Miller,160,7th,13.5,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Saiheron Preciado-Meza,180,7th,10.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Naomi Duenas,207,Did not place,4.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Cumberlands,Destiny Marquez,207,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Dickinson State,Myriam Riley,110,Did not place,0.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Dickinson State,Jenna Gerhardt,110,Did not place,2.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Dickinson State,Mikayla Jardine,117,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Dickinson State,Jazmine Turner,124,Did not place,3.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Dickinson State,Jumoke Adekoye,131,1st,26.0,5,0,5
2026,2026 NAIA Women's National Championships,954958132,Doane,Karina Vang,103,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Doane,Kimberly Navarette,103,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Doane,Angelica Vicente Gonzalez,117,8th,8.5,3,3,6
2026,2026 NAIA Women's National Championships,954958132,Doane,Cristelle Rodriguez,124,1st,26.0,4,0,4
2026,2026 NAIA Women's National Championships,954958132,Doane,Ashlee Palimo`o,131,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Doane,Bridgette Sotomayor,145,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Doane,Yazmin Belk,180,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Doane,Jessica Rodriguez,207,Did not place,3.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Eastern Oregon,Gloria Diaz,117,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Eastern Oregon,Lexie Garza,131,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Eastern Oregon,Makenna Duran,131,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Eastern Oregon,Veil Foreman,145,Did not place,2.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Eastern Oregon,Kiona Michel,207,Did not place,2.5,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Evergreen State,Nizhoni Tallman,110,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Evergreen State,Ellabelle Taylor,124,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Evergreen State,Haley Le,138,5th,16.0,4,2,6
2026,2026 NAIA Women's National Championships,954958132,Evergreen State,Shannon Workinger,160,2nd,17.5,3,1,4
2026,2026 NAIA Women's National Championships,954958132,Friends,Kaylynn Martin,110,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Friends,Alexis Means,145,Did not place,3.0,1,2,3
2026,2026 NAIA Women's National Championships,954958132,Friends,Bailee Nelson,180,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Georgetown,Jes`Onia Barefield,124,Did not place,0.0,0,2,2
2026,2026 NAIA Women's National Championships,954958132,Grand View,Isabelle Apple,103,8th,11.0,3,3,6
2026,2026 NAIA Women's National Championships,954958132,Grand View,Lita Cruz,103,5th,12.0,3,2,5
2026,2026 NAIA Women's National Championships,954958132,Grand View,Tristan Nitta,110,3rd,25.0,6,1,7
2026,2026 NAIA Women's National Championships,954958132,Grand View,Eliana Martinez,110,Did not place,5.5,2,2,4
