name,team,weight_class,place,record,points_scored,season
Kayla McNatt,Arizona Christian,110,5th,3-2,14.0,2026
Haley Ward,Avila,207,2nd,4-1,21.5,2026
Kylie Robledo,Baker,110,4th,5-2,14.5,2026
Chloe Herrick,Baker,117,Did not place,2-2,6.0,2026
Aileya Sath,Baker,131,Did not place,0-2,0.0,2026
Hailee Crosland,Baker,160,Did not place,1-2,3.0,2026
Johanna Carrasco,Baker,180,Did not place,0-2,0.0,2026
Margaret Jordan,Baker,180,Did not place,2-2,3.5,2026
Madeleine Stone,Baker,207,Did not place,0-2,0.0,2026
Lakota Rogers,Bismarck State,117,Did not place,0-2,0.0,2026
Rei Ogden,Bismarck State,124,4th,4-2,15.5,2026
Alexis Schneider,Bismarck State,131,7th,4-2,10.0,2026
Makennah Craft,Campbellsville,103,3rd,5-1,17.0,2026
Addison Messerly,Campbellsville,124,Did not place,1-2,2.5,2026
Olivia Messerly,Campbellsville,131,Did not place,1-2,1.0,2026
Gabriella Perez,Campbellsville,145,Did not place,1-2,2.0,2026
Kylee Tait,Campbellsville,160,Did not place,0-2,0.0,2026
Zoey Mzeru,Central Methodist,103,Did not place,0-2,0.0,2026
Yusneiry Agrazal,Central Methodist,117,Did not place,0-2,0.0,2026
Berlin Kiddoo,Central Methodist,124,Did not place,1-2,2.5,2026
Emily Neumann,Central Methodist,138,Did not place,0-2,0.0,2026
Allyssa Johnson,Central Methodist,160,Did not place,1-2,2.0,2026
Kaitlin Castro,Cumberlands,124,Did not place,1-2,4.0,2026
Mary Jane Porter,Cumberlands,131,Did not place,1-2,2.5,2026
Ruth Jimenez,Cumberlands,138,Did not place,2-2,1.5,2026
Genesis Gilmore,Cumberlands,145,Did not place,1-2,2.0,2026
Alyvia Ming,Cumberlands,145,Did not place,0-2,0.0,2026
Sierra Mefford,Cumberlands,160,Did not place,2-2,1.5,2026
Micah Fisher-Miller,Cumberlands,160,7th,4-2,13.5,2026
Saiheron Preciado-Meza,Cumberlands,180,7th,3-2,10.0,2026
Naomi Duenas,Cumberlands,207,Did not place,1-2,4.0,2026
Destiny Marquez,Cumberlands,207,Did not place,0-2,0.0,2026
Myriam Riley,Dickinson State,110,Did not place,1-2,0.5,2026
Jenna Gerhardt,Dickinson State,110,Did not place,1-2,2.0,2026
Mikayla Jardine,Dickinson State,117,Did not place,0-2,0.0,2026
Jazmine Turner,Dickinson State,124,Did not place,1-2,3.0,2026
Jumoke Adekoye,Dickinson State,131,1st,5-0,26.0,2026
Karina Vang,Doane,103,Did not place,0-2,0.0,2026
Kimberly Navarette,Doane,103,Did not place,0-2,0.0,2026
Angelica Vicente Gonzalez,Doane,117,8th,3-3,8.5,2026
Cristelle Rodriguez,Doane,124,1st,4-0,26.0,2026
Ashlee Palimo`o,Doane,131,Did not place,0-2,0.0,2026
Bridgette Sotomayor,Doane,145,Did not place,0-2,0.0,2026
Yazmin Belk,Doane,180,Did not place,0-2,0.0,2026
Jessica Rodriguez,Doane,207,Did not place,1-2,3.0,2026
Gloria Diaz,Eastern Oregon,117,Did not place,0-2,0.0,2026
Lexie Garza,Eastern Oregon,131,Did not place,0-2,0.0,2026
Makenna Duran,Eastern Oregon,131,Did not place,0-2,0.0,2026
Veil Foreman,Eastern Oregon,145,Did not place,1-2,2.5,2026
Kiona Michel,Eastern Oregon,207,Did not place,1-2,2.5,2026
Nizhoni Tallman,Evergreen State,110,Did not place,0-2,0.0,2026
Ellabelle Taylor,Evergreen State,124,Did not place,0-2,0.0,2026
Haley Le,Evergreen State,138,5th,4-2,16.0,2026
Shannon Workinger,Evergreen State,160,2nd,3-1,17.5,2026
Kaylynn Martin,Friends,110,Did not place,0-2,0.0,2026
Alexis Means,Friends,145,Did not place,1-2,3.0,2026
Bailee Nelson,Friends,180,Did not place,0-2,0.0,2026
Jes`Onia Barefield,Georgetown,124,Did not place,0-2,0.0,2026
Isabelle Apple,Grand View,103,8th,3-3,11.0,2026
Lita Cruz,Grand View,103,5th,3-2,12.0,2026
Tristan Nitta,Grand View,110,3rd,6-1,25.0,2026
Eliana Martinez,Grand View,110,Did not place,2-2,5.5,2026
Cailin Campbell,Grand View,117,4th,4-2,19.0,2026
Mayangelie Colon,Grand View,117,Did not place,2-2,4.5,2026
Maya Davis,Grand View,124,Did not place,3-2,6.0,2026
Catherine Campbell,Grand View,124,7th,5-2,13.0,2026
Madison Diaz,Grand View,145,5th,5-2,12.0,2026
Nicole Olson,Grand View,160,Did not place,0-2,0.0,2026
Andjela Prijovic,Grand View,180,2nd,4-1,21.0,2026
Selena Mares,Grand View,207,5th,4-2,18.0,2026
Chloe Brewis,Hastings,110,8th,4-3,10.5,2026
Raelynn O`Connor,Hastings,110,Did not place,0-2,0.0,2026
Larissa Kaz,Hastings,131,8th,2-3,7.0,2026
Lisa Hoeflich,Hastings,138,Did not place,0-2,0.0,2026
Reagen Gallaway,Hastings,138,7th,3-2,10.0,2026
Emma Stice,Hastings,145,Did not place,0-2,0.0,2026
Jayla Ford,Hastings,160,Did not place,0-2,0.0,2026
Alexis Llamas,Hastings,207,Did not place,0-2,0.0,2026
Taylor Rickley,Hastings,207,Did not place,0-2,0.0,2026
Zoey Haney,Indiana Tech,103,2nd,3-1,19.5,2026
Makayla Young,Indiana Tech,103,Did not place,2-2,3.0,2026
Emma Jones,Indiana Tech,110,Did not place,1-2,4.0,2026
Makenize Smith,Indiana Tech,110,Did not place,1-2,1.0,2026
Rose Kaplan,Indiana Tech,124,2nd,4-1,22.0,2026
Lola Barkby,Indiana Tech,124,8th,3-3,8.5,2026
Andrea Hernandez,Indiana Tech,131,Did not place,0-2,0.0,2026
Kinnley Smith,Indiana Tech,138,Did not place,2-2,1.0,2026
Hayden Newberg,Indiana Tech,145,7th,4-2,11.0,2026
Bo Geibe,Indiana Tech,160,5th,3-2,11.5,2026
Diana Gonzalez,Life,110,Did not place,1-2,1.0,2026
Salyna Shotwell,Life,117,2nd,4-1,24.0,2026
Anna Krejsa,Life,124,Did not place,2-2,5.0,2026
Sarah Savidge,Life,131,4th,4-2,16.0,2026
Olivia Mottley,Life,131,2nd,4-1,19.0,2026
Zaynah McBryde,Life,138,2nd,4-1,22.0,2026
Christina Jaen,Life,138,Did not place,2-2,5.5,2026
Jamilah McBryde,Life,145,1st,4-0,23.0,2026
Amelia Fawcett,Life,145,Did not place,1-2,3.0,2026
Latifah McBryde,Life,160,3rd,5-1,20.5,2026
Reka Busa,Life,180,3rd,4-1,19.0,2026
